Site,Page URL,Page event,Categories,Title,Response code,Page view,Diff view
Marble Valley (The Bus),https://www.thebus.com/routes/city-fixed-west-route/,change,,City Fixed West Route | Public Transportation | The Bus,200 OK,https://versionista.com/diff/byxp1e4e0rh68xm0tzmkqr3rnad576xmp15fk76pabm0r5je81a0/,https://v-cache.com/pa/d652zrnfd5k43861nebmss755a3b76hzdrmmfrz1jq7exj4aqtqe16zqma3v60j8pt8pracq4z7k4/
Marble Valley (The Bus),https://www.thebus.com/routes/fair-haven-route/,change,,Fair Haven Route | Public Transportation | The Bus,200 OK,https://versionista.com/diff/prxbxg2gq3cagpxg6xdtfm9hz54a1swzd93e6q3gwqg29af52ha0/,https://v-cache.com/pa/thw8pmdcw7r92f8z3afgcwpvaw2wps4jm53tfqjg4qee65kjx3j7eaxc9a9xgmh113k8cmvz3b8d2/
Marble Valley (The Bus),https://www.thebus.com/routes/ludlow-route/,change,,Ludlow Route | Public Transportation | The Bus,200 OK,https://versionista.com/diff/53pn264hy4g3767m2bf4f6d9qcefmkj51x084kxn1s11sjranvng/,https://v-cache.com/pa/6zzcz7akzbzfhfhcvngj88hnhwawhfje2gbcp9q35qe0t9p0q3e0tdd33dfd679r4n50bkhwyv9e2/
Marble Valley (The Bus),https://www.thebus.com/routes/manchester-route/,change,,Manchester Route | Public Transportation | The Bus,200 OK,https://versionista.com/diff/w8saf2k7neyst5rwz6krsq6gjyyzm12nxvbwcx6zfjvdxegn00xg/,https://v-cache.com/pa/4sfpyqsmtxwagsxzv5vf7rberxm2dcjsrxwntza75tsrrx6571417w9tt5942tkr9zpt5tkangzhm/
Marble Valley (The Bus),https://www.thebus.com/routes/middlebury-route/,change,,"Middlebury Route | Public Transportation, The Bus",200 OK,https://versionista.com/diff/hv4r3j0yk9fbw0z7z8tgsm15k3mxhcrmkc658wcnsnhfz3k1ja50/,https://v-cache.com/pa/94zck1b4d3sx6rmk7mcv4dz6t63dpcmj0s0nt75e53ekb945t3pez5gz7qr3ce822nkffzksc1fkc/
Marble Valley (The Bus),https://www.thebus.com/rutland-killington-commuter/,change,,Rutland Killington Route | Public Transportation | The Bus,200 OK,https://versionista.com/diff/p8kcf36sp8vz8d67fm13b0znsczbajnbrw1qvfeww31ggeabepq0/,https://v-cache.com/pa/6djztfd1jq7e7141v2pkdv7sv8610r52q4pp285jg75jswb3g3b1rhpzxe94002v9a1nbaywbrr9g/
MOOver!,https://www.moover.com/news/,change,,News - The Moover,200 OK,https://versionista.com/diff/am6m7q4aprks3agfw6g7fbek257983pec0qptwywxfwmpfc4dhbg/,https://v-cache.com/pa/8emnjbd57q0p9mrje7gwfr8hdpnmr4m300ceqw0tag8m0vrhby2r4cw3km118b4tznye5caz42wtw/
Rural Community Transportation (RCT),https://www.riderct.org/bus-routes/,change,,Bus Routes - Rural Community Transportation,200 OK,https://versionista.com/diff/6hm05a0p3zgd3wzfpr3pskn714mezs9vby4b9vec30yyf7sqmrf0/,https://v-cache.com/pa/rkcte4btdqk06kbg2cgzaxt13vk31h9evtygnxv457z8x1tas1y51vmyqn7py1nwspyxd87kg5mkm/
Rural Community Transportation (RCT),https://www.riderct.org/,change,,Main Page,200 OK,https://versionista.com/diff/8y46ndxqe5ah6fh85pgtrwzg445wpxb394tdaz677rexgq91vq60/,https://v-cache.com/pa/yddwavxrdjqzsmrvd768b2zkdfwbhg715x9e3sn79fwrmy3fvvn810g0z4rhtz07b87hg3d5vm178/
Rural Community Transportation (RCT),https://www.riderct.org/news/,change,,News - Rural Community Transportation,200 OK,https://versionista.com/diff/4m23gbvhnkygmkt9yvvgv6fxxw8y5ydnq9zabnxk51b29qrr0d2g/,https://v-cache.com/pa/v9e4dmry8r438n9pzepw724w5akry0p4z09wqg113fxqedmm4cvqf0p08c70ee5jg6tj64jyr6dpt/
Tri-Valley Transit (TVT),https://www.trivalleytransit.org/,change,,Your safe and friendly ride,200 OK,https://versionista.com/diff/1v26d2rkxg7edzpwnttzyqca98xk49q97zmhehv0z2c50r1kpf10/,https://v-cache.com/pa/x3gjbqsvc010y9gt1wy8rp99fqf3j6csks1c24fbzyv50tvrhsjvjvr886r05bkswxbx3cebvqh9e/
Tri-Valley Transit (TVT),https://www.trivalleytransit.org/,change,,Your safe and friendly ride,200 OK,https://versionista.com/diff/7hfvksd0a4j0mw9gshnkjfmtx21jbc6ye722q8bbx4dhgzmr3dg0/,https://v-cache.com/pa/7zr7r5t7gkhrh44d449nvpk3wvbyx80zgp2xyhcs3a2smz31sm6gy9esb1a9rtkx875b140f9gve2/
Tri-Valley Transit (TVT),https://www.trivalleytransit.org/rider-alerts/,change,,Rider Alerts - Tri-Valley Transit,200 OK,https://versionista.com/diff/0jb244w9q3y93nqc6k18hdb9a9mgk3s89bn7egwfvs8gfxn1bgs0/,https://v-cache.com/pa/pmbp1gbqaq80c8bn3147pwewyn8wzs0pt10rva952ygpkmfs3e3j9tv79m2zr7kb5xhp39p294hy4/
